Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient
2010,9,Oregon,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,0,,
2010,8,Washington,Vibrio parahaemolyticus,,Suspected,Restaurant - Sit-down dining,4,0,0,"oysters, raw",
2010,3,Washington,,,,Restaurant - Sit-down dining,3,0,0,salads,
2010,5,Washington,Norovirus,,Confirmed,Caterer (food prepared off-site from where served),13,0,0,salads,
2010,7,Colorado,,,,,42,1,0,,
2010,6,Colorado,"Escherichia coli, Shiga toxin-producing; Campylobacter jejuni",O157:H7; ,Confirmed; Confirmed,Other (describe in remarks),30,2,0,"goat milk, unpasteurized","goat milk, unpasteurized"
2010,8,Colorado,,,,Restaurant - Sit-down dining,4,0,0,,
2010,6,Colorado,Norovirus unknown,,Confirmed,Camp,50,0,0,chicken sandwich,
2010,9,Ohio,,,,Restaurant - Sit-down dining,7,0,0,,
2010,6,Utah,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,4,0,0,,
2010,9,Utah,Salmonella enterica,Javiana,Confirmed,,3,0,0,,
2010,7,Utah,,,,,3,1,0,,
2009,8,California,Salmonella enterica,Typhimurium,Confirmed,Private home/residence; Other (describe in remarks),19,0,0,,
2010,2,Washington,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,0,0,,
2010,4,Washington,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),67,2,0,,
2010,5,Washington,Scombroid toxin,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,"fish, tuna",
2010,7,Washington,Clostridium perfringens,,Confirmed,,9,0,0,meats,
2009,7,California,Salmonella enterica,Typhimurium,Confirmed,Restaurant - Sit-down dining,6,0,0,,
2010,8,Puerto Rico,,,,Private home/residence,29,9,0,turkeky rolls,
2010,2,Wisconsin,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),14,0,0,,
2010,9,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Other (describe in remarks),3,2,0,"canoli, unspecified",
2010,10,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,8,0,0,"chips, tortilla",
2010,9,New York,Campylobacter jejuni,,Confirmed,Banquet Facility (food prepared and served on-site),68,2,0,"clams, raw",clams
2010,7,Utah,,,,,4,2,0,,
2010,10,Ohio,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,33,0,0,,
2010,10,Florida,Norovirus,,Suspected,Restaurant - Sit-down dining,7,0,0,,
2010,9,New York,Salmonella enterica,Enteritidis,Confirmed,,3,1,0,"canoli, unspecified",
2010,10,Maryland,Norovirus Genogroup I,,Confirmed,Banquet Facility (food prepared and served on-site),28,0,0,,
2010,10,Oregon,Norovirus Genogroup II,GII_2,Confirmed,Private home/residence,14,0,0,cookies; grapes; chips,
2010,10,Oregon,Norovirus Genogroup I,GI_4,Confirmed,Private home/residence; School/college/university,12,0,0,salami,
2010,10,Tennessee,Bacillus cereus; Staphylococcus aureus,,Confirmed; Confirmed,,39,0,0,chicken and rice,
2010,9,Tennessee,Salmonella enterica,Newport,Suspected,Private home/residence; Other (describe in remarks),3,1,0,,
2010,2,Illinois,,,,Restaurant - Sit-down dining,5,0,0,,
2010,10,Connecticut,Norovirus Genogroup II,,Confirmed,Private home/residence,9,0,0,,
2010,8,Kansas,,,,Restaurant - Sit-down dining,2,0,0,,
2010,8,Kansas,,,,Restaurant - Sit-down dining,2,1,0,,
2010,9,Kansas,,,,Restaurant - Sit-down dining,3,0,0,omelette,
2010,10,Florida,Salmonella unknown,,Confirmed,Restaurant - Sit-down dining,4,0,0,"pastry, unspecified",egg
2010,2,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,32,0,0,pickles; bun,
2010,8,Texas,,,,Restaurant - Sit-down dining,17,0,0,"refried beans, unspecified",
2010,10,Wisconsin,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),44,0,0,salads,
2010,8,New York,Ciguatoxin,,Confirmed,Private home/residence,4,1,0,"fish, baracuda","fish, baracuda"
2010,7,California,,,,Restaurant - Sit-down dining; Private home/residence; Grocery store,15,0,0,,
2010,5,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,0,,
2010,2,California,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Unknown,7,0,0,"ground beef, unspecified",
2010,10,Ohio,Norovirus Genogroup II,,Suspected,Banquet Facility (food prepared and served on-site),55,0,0,warm rolls & butter; cheesecake with strawberry,
2010,10,Minnesota,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,29,0,0,beverages; water; ice,
2010,10,Florida,Other - Chemical/Toxin,,Suspected,Private home/residence,2,0,0,fish eggs,
2010,9,New York,Salmonella enterica,Typhimurium,Confirmed,Unknown,8,2,0,,
2010,10,Iowa,Salmonella enterica,Infantis,Confirmed,Private home/residence,6,6,0,"carnitas, unspecified",pork
2010,10,California,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,0,,
2010,7,Florida,,,,Caterer (food prepared off-site from where served),20,0,0,"quesadilla, chicken",
2010,10,Illinois,Norovirus Genogroup I,,Confirmed,Camp,41,0,0,,
2010,10,Illinois,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,0,,
2010,9,Michigan,,,,Prison/jail,50,0,0,gravy,
2010,11,Illinois,,,,Caterer (food prepared off-site from where served); Other (describe in remarks),7,0,0,"cake, tiramisu",
2010,10,Illinois,,,,Caterer (food prepared off-site from where served),22,0,0,,
2010,1,Oregon,Salmonella enterica,Heidelberg,Confirmed,Private home/residence,12,5,0,,
2010,10,New York,Norovirus Genogroup II,,Confirmed,Private home/residence,17,0,0,biscotti; homemade pudding cookie,
2009,4,Virginia,Salmonella enterica,Enteritidis,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,5,0,,
2010,8,California,Norovirus unknown,,Suspected,Private home/residence; Caterer (food prepared off-site from where served); Grocery store; Other (describe in remarks),8,0,0,cheese; cheese and crackers,
2010,11,Illinois,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),11,0,0,,
2010,10,Florida,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,2,0,0,,
2010,10,Pennsylvania,Campylobacter jejuni,,Confirmed,Private home/residence,4,1,0,"milk, whole milk unpasteurized",
2010,10,Minnesota,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,6,0,0,caesar salad,
2010,10,Minnesota,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Caterer (food prepared off-site from where served)",7,0,0,,
2010,10,Minnesota,Norovirus,,Suspected,Restaurant - Sit-down dining,14,0,0,"sandwich, wrap",
2010,9,South Carolina,Campylobacter jejuni,,Confirmed,Other (describe in remarks),7,0,0,"milk, whole milk unpasteurized",
2010,10,Puerto Rico,,,,Private home/residence,46,0,0,pork,
2010,10,Colorado,,,,,13,0,0,,
2010,3,Colorado,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,0,,
2010,10,Iowa,Salmonella enterica,Thompson,Confirmed,,4,0,0,,
2010,3,Florida,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,0,,
2010,3,Florida,Salmonella unknown,,Confirmed,Private home/residence,17,2,0,chicken dishes,
2010,6,Florida,,,,Other (describe in remarks),5,0,0,,
2010,2,North Dakota,Norovirus Genogroup II,,Confirmed,School/college/university,25,0,0,,
2010,3,Pennsylvania,,,,,2,1,0,,
2010,8,Puerto Rico,,,,,4,0,0,,
2010,10,Wisconsin,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),25,0,0,,
2010,10,Massachusetts,Campylobacter jejuni,,Confirmed,Restaurant - Sit-down dining,3,0,0,,
2010,10,Maine,,,,,16,0,0,,
2010,9,North Dakota,Norovirus Genogroup II,,Confirmed,Private home/residence,8,0,0,,
2010,11,Minnesota,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",63,0,0,,
2010,7,North Dakota,Norovirus Genogroup I,,Confirmed,Private home/residence,8,0,0,,
2010,11,Illinois,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,28,0,0,,
2010,10,Maryland,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),13,0,0,,
2010,11,New York,Norovirus unknown,,Suspected,Caterer (food prepared off-site from where served),13,0,0,vegetable-based salads,
2010,4,Florida,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),19,0,0,ice cream cake,
2010,10,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,6,0,0,"pork, roasted",
2010,10,Colorado,Norovirus unknown,,Confirmed,Caterer (food prepared off-site from where served),12,0,0,"peppers, bell; ranch dressing; celery, unspecified",peppers; celery
2010,8,Colorado,,,,Restaurant - Sit-down dining,13,0,0,,
2010,10,Arkansas,Salmonella enterica,Newport,Confirmed,,5,2,0,,
2010,11,Minnesota,Norovirus Genogroup II,,Confirmed,,16,0,0,"sandwich, ham/cheese",
2010,11,Illinois,,,,Restaurant - Sit-down dining,5,0,0,,
2010,11,Illinois,,,,Restaurant - Sit-down dining,3,0,0,,
2010,6,Illinois,,,,Restaurant - Sit-down dining,13,0,0,,
2010,11,New York,Ciguatoxin,,Confirmed,Private home/residence,11,0,0,"fish, grouper",
2010,4,Illinois,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,12,0,0,,
2010,4,California,Salmonella enterica,Typhimurium,Confirmed,Other (describe in remarks),27,5,0,,
2010,11,Ohio,,,,,7,0,0,,
2010,7,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,0,,
2010,10,Pennsylvania,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,0,"sandwich, hoagie",
2010,11,Texas,,,,,4,0,0,,
2010,9,Washington,Norovirus,,Suspected,Banquet Facility (food prepared and served on-site),30,0,0,salads,
2010,9,Washington,Clostridium perfringens,,Suspected,Caterer (food prepared off-site from where served),22,0,0,"gumbo, unspecified",
2010,11,Illinois,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,0,,
2010,10,South Dakota,Salmonella enterica,Typhimurium var Cope,Confirmed,,5,0,0,smoked sausage,
2010,11,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Suspected,Restaurant - Sit-down dining,11,0,0,"sushi, unspecified",
2010,7,Illinois,,,,Banquet Facility (food prepared and served on-site),15,0,0,,
2010,5,Washington,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other (describe in remarks),2,1,0,"milk, whole milk unpasteurized",
2010,9,Idaho,"Escherichia coli, Shiga toxin-producing",O121:H19,Confirmed,"Fair, festival, other temp or mobile services",6,3,0,,
2010,8,Colorado,,,,Restaurant - Sit-down dining,13,2,0,french dip sandwich; au jus sauce,
2010,11,Florida,Clostridium perfringens,,Suspected,Caterer (food prepared off-site from where served),95,0,0,"chicken, baked",
2010,11,Florida,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,12,0,0,various mexican food items,
2010,11,Ohio,Salmonella enterica,Heidelberg,Confirmed,Private home/residence,6,5,0,turkey,
2010,12,Illinois,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),26,0,0,"macaroni salad; gravy, beef; beef,sliced; potatoes",
2010,2,Colorado,,,,Caterer (food prepared off-site from where served),12,0,0,"beans, unspecified",beans
2010,9,Washington,Salmonella enterica,Uganda,Confirmed,Unknown,13,4,0,,
2010,11,Oklahoma,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O84:NM,Confirmed; Confirmed,Prison/jail,21,0,0,multiple foods,
2010,10,Oklahoma,Norovirus Genogroup II,,Suspected,,31,0,0,,
2010,11,Minnesota,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O103:H2; O145:NM,Confirmed; Confirmed,School/college/university,29,2,0,venison,venison
2010,10,Florida,Bacillus cereus,,Confirmed,Prison/jail,103,0,0,"rice, white","rice, white"
2010,11,Wisconsin,Norovirus Genogroup II,,Suspected,School/college/university,20,0,0,,
2010,12,Connecticut,,,,Restaurant - Sit-down dining,4,0,0,,
2010,10,Arizona,,,,,7,0,0,,
2010,10,California,Norovirus unknown,,Suspected,Restaurant - other or unknown type,11,2,0,"sandwich, turkey; cupcakes",
2010,12,New York,Clostridium perfringens,,Suspected,Restaurant - Sit-down dining,5,0,0,chicken rollup,
2010,10,Washington,Norovirus,,Suspected,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7,0,0,,
2010,12,Tennessee,,,,,10,0,0,honey mustard,
2010,12,Tennessee,,,,,3,0,0,,
2010,12,Tennessee,,,,,5,0,0,,
2010,10,Puerto Rico,,,,,23,0,0,pork,
2010,12,Minnesota,Norovirus,,Confirmed,Caterer (food prepared off-site from where served),5,0,0,,
2010,12,Minnesota,Norovirus Genogroup II,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24,0,0,broccoli salad,broccoli salad
2010,12,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,14,0,0,,
2010,12,Minnesota,Norovirus Genogroup II,,Confirmed,Other (describe in remarks),32,0,0,,
2010,10,Kansas,Norovirus Genogroup II,GII_4 Minerva (2006),Confirmed,Restaurant - Sit-down dining,5,0,0,,
2010,9,Rhode Island,Norovirus,,Confirmed,Restaurant - Sit-down dining,5,0,0,,
2010,10,Rhode Island,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,,
2010,11,Kansas,Clostridium perfringens,,Confirmed,Private home/residence,135,1,0,turkey,turkey
2010,10,Kansas,Norovirus Genogroup I,,Suspected,School/college/university,123,0,0,,
2010,11,Kansas,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,0,salads,
2010,11,Kansas,Norovirus Genogroup II,GII_7,Confirmed,Restaurant - Sit-down dining,13,0,0,,
2010,11,Texas,,,,,4,0,0,,
2010,10,Colorado,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,9,0,0,,
2010,10,Colorado,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,32,1,0,,
2010,11,Colorado,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,0,,
2010,12,Vermont,Campylobacter jejuni,,Confirmed,Other (describe in remarks),11,0,0,"milk, whole milk unpasteurized","milk, whole milk unpasteurized"
2010,7,New York,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,6,1,0,,
2010,12,Minnesota,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),15,0,0,fruit,
2010,10,Ohio,,,,Restaurant - Sit-down dining,3,0,0,,
2010,10,Ohio,,,,Caterer (food prepared off-site from where served),4,0,0,,
2010,11,Ohio,,,,Restaurant - Sit-down dining,3,0,0,,
2010,12,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Restaurant - Sit-down dining,11,0,0,"oysters, raw",
2010,4,Arizona,Norovirus Genogroup II,,Confirmed,Private home/residence,25,0,0,chicken salad,
2010,11,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,10,0,0,salsa; diced chicken,chicken
2010,11,Ohio,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),66,0,0,,
2010,11,Ohio,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,39,2,0,"sushi, unspecified",
2010,11,South Carolina,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,22,4,0,,
2010,11,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining; Private home/residence; Caterer (food prepared off-site from where served),7,0,0,,
2010,10,Arizona,,,,,2,1,0,,
2010,12,Illinois,Staphylococcus aureus,,Confirmed,Caterer (food prepared off-site from where served),9,0,0,"cake, chocolate",
2010,12,Illinois,,,,Restaurant - Sit-down dining,9,0,0,,
2010,12,Illinois,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,1,0,,
2010,12,Illinois,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),21,1,0,,
2010,12,Illinois,Staphylococcus aureus,,Confirmed,Other (describe in remarks),10,0,0,cake,
2010,12,Illinois,,,,Private home/residence; Caterer (food prepared off-site from where served); Grocery store,7,0,0,,
2010,8,Michigan,Salmonella enterica,Javiana,Confirmed,Long-term care/nursing home/assisted living facility,41,5,0,potato salad,yellow onion
2010,6,Michigan,Salmonella enterica,Uganda,Confirmed,Other (describe in remarks),8,6,0,,
2010,12,Oregon,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),38,3,0,,
2010,12,Oregon,Norovirus Genogroup II,GII_1,Suspected,Restaurant - Sit-down dining,2,0,0,,
2010,12,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,14,,0,,
2010,12,Minnesota,Norovirus,,Suspected,,13,0,0,,
2010,11,Florida,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,14,1,0,,
2010,10,Wisconsin,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,23,0,0,coleslaw,
2010,11,Colorado,,,,Restaurant - Sit-down dining,4,0,0,,
2010,12,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,8,0,0,,
2009,12,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,20,0,0,,
2010,11,Pennsylvania,Norovirus,,Suspected,Restaurant - other or unknown type,15,2,0,"sandwich, other specialty",
2010,10,Colorado,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,21,4,1,,
2010,12,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Restaurant - other or unknown type,31,0,0,,
2011,1,Ohio,,,,Restaurant - Sit-down dining,2,0,0,pie,
2010,12,Ohio,Norovirus Genogroup I,GI_3B,Confirmed,Private home/residence,8,0,0,"cheese dip; vegetable dip, unspecified",
2010,12,Illinois,Shigella sonnei,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,,
2010,9,California,Norovirus unknown,,Confirmed,Banquet Facility (food prepared and served on-site),26,2,0,"sandwich, turkey; sandwich, vegetable-based",
2010,7,Minnesota,Campylobacter jejuni; Cryptosporidium parvum,,Confirmed; Confirmed,Other (describe in remarks),7,0,0,"milk, whole milk unpasteurized","milk, whole milk pasteurized"
2011,1,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Suspected,Restaurant - Sit-down dining,2,0,0,,
2010,12,Florida,Norovirus,,Suspected,Restaurant - Sit-down dining,2,0,0,,
2010,11,California,,,,Private home/residence,2,0,0,,
2010,8,California,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,9,2,0,,
2010,8,California,,,,Restaurant - Sit-down dining,3,0,0,,
2009,1,Illinois,,,,,4,,0,,
2010,12,Connecticut,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,9,0,0,spinach artichoke dip,
2010,12,Wisconsin,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,12,0,0,"sandwich, submarine",
2010,12,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Unknown,7,0,0,,
2011,1,Virginia,Norovirus,,Suspected,Restaurant - Sit-down dining,7,0,0,,
2010,12,Virginia,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,23,3,0,biscuits,
2009,1,New Jersey,Norovirus,,Confirmed,,9,0,0,,
2009,3,New Jersey,,,,Restaurant - Sit-down dining,18,1,0,"chicken, fried; potato, unspecified",
2009,3,New Jersey,,,,,27,,0,,
2009,6,New Jersey,Salmonella enterica,Enteritidis,Confirmed,,4,,0,,
2009,1,New Jersey,,,,,9,,0,,
2010,12,Alaska,Clostridium botulinum,,Confirmed,Private home/residence,2,1,0,"salmon, salted",
2010,12,Florida,Norovirus,,Suspected,Restaurant - Sit-down dining,11,0,0,"salad, unspecified",carrots; cheese; cucumber; egg; leaf lettuce; onion; tomato
2010,12,Florida,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,0,"sushi, unspecified",
2011,1,Texas,,,,,2,0,0,,
2010,5,California,,,,Caterer (food prepared off-site from where served),9,0,0,"beans, unspecified",
2010,9,California,Norovirus unknown,,Confirmed,Restaurant - other or unknown type,39,,0,,
2010,8,California,,,,,5,0,0,,
2010,3,Colorado,Norovirus unknown,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",8,0,0,,
2011,1,Colorado,Norovirus unknown,,Confirmed,Grocery store,8,1,0,mixed fruit,
2010,4,Colorado,,,,Banquet Facility (food prepared and served on-site),7,0,0,"chicken, roasted",chicken
2010,12,Wisconsin,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,,23,,0,,
2011,1,Wyoming,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,24,0,0,"coleslaw; cake, brownie",
2011,1,Illinois,Salmonella enterica,Infantis,Confirmed,,29,3,0,,
2010,4,Wyoming,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site); Other (describe in remarks),33,1,0,###############################################################################################################################################################################################################################################################,
2011,1,Minnesota,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,3,0,0,,
2011,1,Minnesota,Norovirus Genogroup I,,Suspected,Restaurant - Sit-down dining,22,1,0,,
2011,1,New York,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,1,0,venison,venison
2010,7,Colorado,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,2,0,0,"eggs, unspecified",egg
2010,7,New Mexico,Salmonella enterica,Sandiego,Confirmed,,5,3,0,,
2010,6,New Mexico,Salmonella enterica,Newport,Confirmed,,8,4,0,,
2010,12,New Mexico,Norovirus,,Confirmed,Restaurant - Sit-down dining,36,0,0,"guacamole; beans, unspecified",
2010,2,Oregon,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,3,0,0,,
2011,1,South Dakota,Campylobacter jejuni,,Confirmed,,5,0,0,,
2011,1,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Grocery store,2,0,0,"chicken, roasted",
2010,12,Utah,,,,,2,0,0,,
2010,12,California,,,,Restaurant - Sit-down dining,19,1,0,"pork, roasted",pork
2010,11,New Mexico,Norovirus,,Confirmed,,14,0,0,guacamole; potato salad,
2010,12,Maryland,,,,Restaurant - Sit-down dining,2,0,0,chips and salsa,
2011,1,Minnesota,Norovirus Genogroup II,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence",6,0,0,,
2010,1,Maryland,,,,Restaurant - Sit-down dining,3,0,0,,
2010,10,California,,,,Restaurant - other or unknown type,4,1,0,,
2010,7,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,18,0,0,vegetable-based salads; pasta-based salads; specialty,
2011,1,Florida,,,,Caterer (food prepared off-site from where served),7,0,0,"rice, unspecified",rice
2011,2,New York,Norovirus; Other,,Confirmed; Suspected,Restaurant - Sit-down dining,8,0,0,,
2011,1,Missouri,,,,Caterer (food prepared off-site from where served),28,0,0,,
2011,1,Florida,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,6,0,0,"refried beans, unspecified",beans
2009,11,New Jersey,Norovirus,,Confirmed,Restaurant - Sit-down dining,31,,0,sangria,
2009,7,New Jersey,,,,Banquet Facility (food prepared and served on-site),9,,0,"fish, stuffed flounder",
2010,12,South Carolina,Staphylococcus aureus; Clostridium perfringens,,Confirmed; Confirmed,Private home/residence,50,0,0,turkey,
2009,3,New Jersey,,,,Restaurant - Sit-down dining,8,,0,,
2010,12,Washington,Listeria monocytogenes,,Confirmed,Hospital,4,4,0,,
2010,11,Washington,Norovirus,,Suspected,Restaurant - Sit-down dining,2,0,0,,
2010,12,Washington,,,,Restaurant - Sit-down dining,2,0,0,,
2010,7,California,Salmonella enterica,Litchfield,Confirmed,Private home/residence,23,2,0,,
2010,12,California,,,,Restaurant - Sit-down dining,13,0,0,caesar salad,
2010,12,California,,,,Banquet Facility (food prepared and served on-site),25,0,0,potatoes,
2010,11,California,Hepatitis A,,Confirmed,Other (describe in remarks),6,1,0,cake,
2011,2,Ohio,,,,Private home/residence,20,0,0,asparagus,
2011,2,Minnesota,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,5,0,0,,
2011,2,Minnesota,Norovirus Genogroup II,,Suspected,Caterer (food prepared off-site from where served),15,0,0,,
2011,1,Rhode Island,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,14,0,0,,
2011,1,Rhode Island,Norovirus Genogroup II,,Confirmed,,54,0,0,,
2011,1,California,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,18,0,0,"potatoes; orange juice, unspecified",
2011,1,Ohio,,,,Restaurant - Sit-down dining,3,1,0,,
2011,1,Ohio,,,,Restaurant - Sit-down dining,10,0,0,"salad, unspecified",
2011,1,Ohio,,,,Restaurant - Sit-down dining,3,0,0,"chicken, buffalo wings; celery, unspecified; blue cheese dressing; beer",
2011,2,Texas,,,,,3,0,0,,
2011,2,Illinois,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,111,0,0,,
2011,2,Illinois,,,,Grocery store,2,0,0,"sandwich, wrap",
2011,2,Illinois,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,30,0,0,"chicken, bbq",chicken
2011,2,Illinois,,,,Private home/residence; Grocery store,13,,0,"deli meat, multiple; bread, unspecified",
2011,1,Ohio,,,,Restaurant - Sit-down dining,6,0,0,,
2011,2,Illinois,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,4,0,0,,
2011,2,New York,Norovirus,,Suspected,Banquet Facility (food prepared and served on-site),38,0,0,,
2011,1,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,11,4,0,"sandwich, unspecified",
2010,12,Texas,Norovirus Genogroup II,,Confirmed,,11,5,0,,
2009,12,New Jersey,Salmonella enterica,Enteritidis,Confirmed,,39,5,0,"chicken, marsala; pork, other",
2009,4,New Jersey,Norovirus,,Confirmed,Other (describe in remarks),155,1,0,"cake, unspecified",
2010,12,Kansas,,,,Restaurant - Sit-down dining,8,0,0,,
2011,2,Illinois,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,12,0,0,,
2010,12,Kansas,Norovirus Genogroup II,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",3,0,0,,
2010,12,Kansas,,,,Restaurant - Sit-down dining,9,0,0,,
2011,1,Kansas,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,3,0,0,,
2011,2,Minnesota,Norovirus,,Confirmed,Other (describe in remarks),16,0,0,"sandwich, submarine","peppers, green; tomato"
2011,2,Minnesota,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,3,0,0,chicken,chicken
2011,2,Illinois,Norovirus Genogroup II,,Confirmed,Private home/residence; Grocery store,24,0,0,,
2010,12,Florida,,,,Restaurant - Sit-down dining,2,0,0,,
2011,2,Ohio,,,,Restaurant - Sit-down dining,5,0,0,,
2011,2,Minnesota,Norovirus,,Suspected,Restaurant - other or unknown type,9,0,0,,
2010,9,California,Salmonella enterica; Salmonella enterica,Thompson; Oranienburg,Confirmed; Confirmed,Restaurant - Sit-down dining,10,1,0,,
2011,3,Illinois,Norovirus,,Suspected,Restaurant - Sit-down dining,10,1,0,,
2010,7,North Dakota,Campylobacter jejuni,,Suspected,Private home/residence,7,0,0,"whole milk, unpasteurized",
